#RIC,Alias Underlying RIC,Domain,Date-Time,GMT Offset,Type,Open,High,Low,Last,Volume
CLc3,CLQ26,Market Price,2026-04-30T23:00:00.000000000Z,-4,Intraday 1Hour,94.41,94.62,94.29,94.43,221
CLc3,CLQ26,Market Price,2026-05-01T00:00:00.000000000Z,-4,Intraday 1Hour,94.37,94.81,94.15,94.67,1241
CLc3,CLQ26,Market Price,2026-05-01T01:00:00.000000000Z,-4,Intraday 1Hour,94.78,94.97,94.38,94.5,564
CLc3,CLQ26,Market Price,2026-05-01T02:00:00.000000000Z,-4,Intraday 1Hour,94.35,95.01,94.35,94.48,878
CLc3,CLQ26,Market Price,2026-05-01T03:00:00.000000000Z,-4,Intraday 1Hour,94.46,94.64,94.38,94.42,345
CLc3,CLQ26,Market Price,2026-05-01T04:00:00.000000000Z,-4,Intraday 1Hour,94.43,94.47,93.99,93.99,341
CLc3,CLQ26,Market Price,2026-05-01T05:00:00.000000000Z,-4,Intraday 1Hour,94.18,94.18,93.91,94,406
CLc3,CLQ26,Market Price,2026-05-01T06:00:00.000000000Z,-4,Intraday 1Hour,94.01,95.13,94.01,94.75,1531
CLc3,CLQ26,Market Price,2026-05-01T07:00:00.000000000Z,-4,Intraday 1Hour,94.74,94.86,93.68,94.51,4306
CLc3,CLQ26,Market Price,2026-05-01T08:00:00.000000000Z,-4,Intraday 1Hour,94.48,94.67,93.69,94.18,2505
CLc3,CLQ26,Market Price,2026-05-01T09:00:00.000000000Z,-4,Intraday 1Hour,94.22,94.74,93.89,94.09,2348
CLc3,CLQ26,Market Price,2026-05-01T10:00:00.000000000Z,-4,Intraday 1Hour,94.12,94.4,93.94,94,1600
CLc3,CLQ26,Market Price,2026-05-01T11:00:00.000000000Z,-4,Intraday 1Hour,94.06,94.13,93.44,93.45,3029
CLc3,CLQ26,Market Price,2026-05-01T12:00:00.000000000Z,-4,Intraday 1Hour,93.45,93.71,92.38,93.25,8674
CLc3,CLQ26,Market Price,2026-05-01T13:00:00.000000000Z,-4,Intraday 1Hour,93.28,93.35,90.69,90.97,7031
CLc3,CLQ26,Market Price,2026-05-01T14:00:00.000000000Z,-4,Intraday 1Hour,90.98,91.39,89.59,91.23,11291
CLc3,CLQ26,Market Price,2026-05-01T15:00:00.000000000Z,-4,Intraday 1Hour,91.3,91.89,90.85,91.06,6486
CLc3,CLQ26,Market Price,2026-05-01T16:00:00.000000000Z,-4,Intraday 1Hour,91.05,92.04,90.72,91.69,6612
