#RIC,Alias Underlying RIC,Domain,Date-Time,GMT Offset,Type,Open,High,Low,Last,Volume
HOc2,HON26,Market Price,2026-04-30T23:00:00.000000000Z,-4,Intraday 1Hour,3.9092,3.9191,3.9085,3.9085,75
HOc2,HON26,Market Price,2026-05-01T00:00:00.000000000Z,-4,Intraday 1Hour,3.9,3.9171,3.9,3.9134,59
HOc2,HON26,Market Price,2026-05-01T01:00:00.000000000Z,-4,Intraday 1Hour,3.9192,3.9192,3.9,3.9065,18
HOc2,HON26,Market Price,2026-05-01T02:00:00.000000000Z,-4,Intraday 1Hour,3.9216,3.9289,3.9153,3.9153,69
HOc2,HON26,Market Price,2026-05-01T03:00:00.000000000Z,-4,Intraday 1Hour,3.9026,3.9066,3.9019,3.9066,14
HOc2,HON26,Market Price,2026-05-01T04:00:00.000000000Z,-4,Intraday 1Hour,3.8989,3.8989,3.8932,3.8932,10
HOc2,HON26,Market Price,2026-05-01T05:00:00.000000000Z,-4,Intraday 1Hour,3.891,3.897,3.891,3.8924,24
HOc2,HON26,Market Price,2026-05-01T06:00:00.000000000Z,-4,Intraday 1Hour,3.9029,3.9333,3.9013,3.9212,186
HOc2,HON26,Market Price,2026-05-01T07:00:00.000000000Z,-4,Intraday 1Hour,3.9186,3.9186,3.8672,3.9007,404
HOc2,HON26,Market Price,2026-05-01T08:00:00.000000000Z,-4,Intraday 1Hour,3.9127,3.937,3.9097,3.9326,327
HOc2,HON26,Market Price,2026-05-01T09:00:00.000000000Z,-4,Intraday 1Hour,3.9377,3.956,3.9068,3.9096,206
HOc2,HON26,Market Price,2026-05-01T10:00:00.000000000Z,-4,Intraday 1Hour,3.9079,3.9186,3.8981,3.9029,92
HOc2,HON26,Market Price,2026-05-01T11:00:00.000000000Z,-4,Intraday 1Hour,3.9009,3.9009,3.88,3.8846,270
HOc2,HON26,Market Price,2026-05-01T12:00:00.000000000Z,-4,Intraday 1Hour,3.8804,3.8972,3.83,3.8519,2143
HOc2,HON26,Market Price,2026-05-01T13:00:00.000000000Z,-4,Intraday 1Hour,3.8513,3.854,3.7801,3.7888,3662
HOc2,HON26,Market Price,2026-05-01T14:00:00.000000000Z,-4,Intraday 1Hour,3.7909,3.8227,3.7412,3.8209,3945
HOc2,HON26,Market Price,2026-05-01T15:00:00.000000000Z,-4,Intraday 1Hour,3.8236,3.8405,3.7867,3.7921,1868
HOc2,HON26,Market Price,2026-05-01T16:00:00.000000000Z,-4,Intraday 1Hour,3.7942,3.823,3.7744,3.8188,2297
