#RIC,Alias Underlying RIC,Domain,Date-Time,GMT Offset,Type,Open,High,Low,Last,Volume
LCOc10,LCOJ7,Market Price,2026-05-01T00:00:00.000000000Z,+1,Intraday 1Hour,82.55,82.69,82.55,82.69,36
LCOc10,LCOJ7,Market Price,2026-05-01T01:00:00.000000000Z,+1,Intraday 1Hour,82.94,82.95,82.94,82.95,13
LCOc10,LCOJ7,Market Price,2026-05-01T02:00:00.000000000Z,+1,Intraday 1Hour,83.05,83.05,83.05,83.05,8
LCOc10,LCOJ7,Market Price,2026-05-01T03:00:00.000000000Z,+1,Intraday 1Hour,,,,,6
LCOc10,LCOJ7,Market Price,2026-05-01T04:00:00.000000000Z,+1,Intraday 1Hour,82.56,82.56,82.33,82.33,6
LCOc10,LCOJ7,Market Price,2026-05-01T06:00:00.000000000Z,+1,Intraday 1Hour,82.51,82.75,82.51,82.75,47
LCOc10,LCOJ7,Market Price,2026-05-01T07:00:00.000000000Z,+1,Intraday 1Hour,82.89,82.89,82.68,82.71,158
LCOc10,LCOJ7,Market Price,2026-05-01T08:00:00.000000000Z,+1,Intraday 1Hour,82.79,82.97,82.69,82.9,167
LCOc10,LCOJ7,Market Price,2026-05-01T09:00:00.000000000Z,+1,Intraday 1Hour,82.85,83.09,82.72,82.73,168
LCOc10,LCOJ7,Market Price,2026-05-01T10:00:00.000000000Z,+1,Intraday 1Hour,82.74,82.75,82.65,82.7,66
LCOc10,LCOJ7,Market Price,2026-05-01T11:00:00.000000000Z,+1,Intraday 1Hour,82.65,82.66,82.41,82.41,90
LCOc10,LCOJ7,Market Price,2026-05-01T12:00:00.000000000Z,+1,Intraday 1Hour,82.52,82.63,82.16,82.52,301
LCOc10,LCOJ7,Market Price,2026-05-01T13:00:00.000000000Z,+1,Intraday 1Hour,82.51,82.51,81.24,81.4,520
LCOc10,LCOJ7,Market Price,2026-05-01T14:00:00.000000000Z,+1,Intraday 1Hour,81.28,81.28,80.44,81.2,389
LCOc10,LCOJ7,Market Price,2026-05-01T15:00:00.000000000Z,+1,Intraday 1Hour,81.47,81.47,80.7,81.05,192
LCOc10,LCOJ7,Market Price,2026-05-01T16:00:00.000000000Z,+1,Intraday 1Hour,80.91,81.69,80.85,81.54,168
