#RIC,Alias Underlying RIC,Domain,Date-Time,GMT Offset,Type,Open,High,Low,Last,Volume
LGOc10,LGOG7,Market Price,2026-05-01T00:00:00.000000000Z,+1,Intraday 1Hour,879.75,879.75,879.75,879.75,17
LGOc10,LGOG7,Market Price,2026-05-01T01:00:00.000000000Z,+1,Intraday 1Hour,882.5,882.5,881,881,9
LGOc10,LGOG7,Market Price,2026-05-01T02:00:00.000000000Z,+1,Intraday 1Hour,883.25,883.25,883.25,883.25,8
LGOc10,LGOG7,Market Price,2026-05-01T03:00:00.000000000Z,+1,Intraday 1Hour,,,,,1
LGOc10,LGOG7,Market Price,2026-05-01T04:00:00.000000000Z,+1,Intraday 1Hour,,,,,2
LGOc10,LGOG7,Market Price,2026-05-01T05:00:00.000000000Z,+1,Intraday 1Hour,,,,,3
LGOc10,LGOG7,Market Price,2026-05-01T06:00:00.000000000Z,+1,Intraday 1Hour,876.75,879,876.75,879,147
LGOc10,LGOG7,Market Price,2026-05-01T07:00:00.000000000Z,+1,Intraday 1Hour,881.5,881.5,878.25,878.25,58
LGOc10,LGOG7,Market Price,2026-05-01T08:00:00.000000000Z,+1,Intraday 1Hour,879.5,881.25,878.5,880.25,123
LGOc10,LGOG7,Market Price,2026-05-01T09:00:00.000000000Z,+1,Intraday 1Hour,885.25,885.75,881.75,881.75,28
LGOc10,LGOG7,Market Price,2026-05-01T10:00:00.000000000Z,+1,Intraday 1Hour,881,881.25,880.5,881,40
LGOc10,LGOG7,Market Price,2026-05-01T11:00:00.000000000Z,+1,Intraday 1Hour,882,882,879.5,879.5,40
LGOc10,LGOG7,Market Price,2026-05-01T12:00:00.000000000Z,+1,Intraday 1Hour,878.75,879.5,873,875.75,202
LGOc10,LGOG7,Market Price,2026-05-01T13:00:00.000000000Z,+1,Intraday 1Hour,871.75,872.25,858.5,858.5,834
LGOc10,LGOG7,Market Price,2026-05-01T14:00:00.000000000Z,+1,Intraday 1Hour,859,860.75,851.25,860.75,623
LGOc10,LGOG7,Market Price,2026-05-01T15:00:00.000000000Z,+1,Intraday 1Hour,861.75,863.5,853.75,855,158
LGOc10,LGOG7,Market Price,2026-05-01T16:00:00.000000000Z,+1,Intraday 1Hour,853.5,862.25,853.5,862,127
LGOc10,LGOG7,Market Price,2026-05-01T17:00:00.000000000Z,+1,Intraday 1Hour,859,859,858.5,858.5,42
LGOc10,LGOG7,Market Price,2026-05-01T18:00:00.000000000Z,+1,Intraday 1Hour,858.25,864.75,858.25,864.75,181
LGOc10,LGOG7,Market Price,2026-05-01T19:00:00.000000000Z,+1,Intraday 1Hour,865.5,865.5,865.5,865.5,7
LGOc10,LGOG7,Market Price,2026-05-01T20:00:00.000000000Z,+1,Intraday 1Hour,868.75,871.25,868.75,871.25,47
LGOc10,LGOG7,Market Price,2026-05-03T22:00:00.000000000Z,+1,Intraday 1Hour,867,867.5,859.5,863.5,63
LGOc10,LGOG7,Market Price,2026-05-04T00:00:00.000000000Z,+1,Intraday 1Hour,,,,,1
LGOc10,LGOG7,Market Price,2026-05-04T01:00:00.000000000Z,+1,Intraday 1Hour,865.75,868.5,865.25,868,5
LGOc10,LGOG7,Market Price,2026-05-04T02:00:00.000000000Z,+1,Intraday 1Hour,,,,,9
LGOc10,LGOG7,Market Price,2026-05-04T03:00:00.000000000Z,+1,Intraday 1Hour,871.75,872.75,871.75,872.75,3
LGOc10,LGOG7,Market Price,2026-05-04T04:00:00.000000000Z,+1,Intraday 1Hour,869.5,869.5,869.5,869.5,25
LGOc10,LGOG7,Market Price,2026-05-04T05:00:00.000000000Z,+1,Intraday 1Hour,869.5,869.5,861.75,869.25,15
LGOc10,LGOG7,Market Price,2026-05-04T06:00:00.000000000Z,+1,Intraday 1Hour,868.75,868.75,868.25,868.25,22
LGOc10,LGOG7,Market Price,2026-05-04T07:00:00.000000000Z,+1,Intraday 1Hour,876,876.25,876,876.25,21
LGOc10,LGOG7,Market Price,2026-05-04T08:00:00.000000000Z,+1,Intraday 1Hour,881.25,882.5,873.75,874,52
LGOc10,LGOG7,Market Price,2026-05-04T09:00:00.000000000Z,+1,Intraday 1Hour,873.5,873.5,873.5,873.5,10
LGOc10,LGOG7,Market Price,2026-05-04T10:00:00.000000000Z,+1,Intraday 1Hour,876,890.5,875.25,875.25,209
