"release_date","time","actual","forecast","previous"
"30-06-2026","21:30","","","-0.765M"
"23-06-2026","21:30","-0.765M","","-8.330M"
"16-06-2026","21:30","-8.330M","-4.500M","-9.119M"
"09-06-2026","21:30","-9.119M","-3.400M","-6.750M"
"02-06-2026","22:00","-6.750M","-3.600M","-2.800M"
"27-05-2026","21:30","-2.800M","","-9.100M"
"19-05-2026","21:30","-9.100M","-3.400M","-2.188M"
"12-05-2026","21:30","-2.188M","-1.650M","-8.100M"
"05-05-2026","21:30","-8.100M","-2.800M","-1.790M"
"28-04-2026","21:30","-1.790M","0.300M","-4.400M"
"21-04-2026","21:30","-4.400M","-1.000M","6.100M"
"14-04-2026","21:30","6.100M","-1.300M","3.719M"
"07-04-2026","21:30","3.719M","","10.263M"
"31-03-2026","21:30","10.263M","-1.300M","2.300M"
"24-03-2026","20:30","2.300M","-1.300M","6.600M"
"17-03-2026","20:30","6.600M","-0.600M","-1.700M"
"10-03-2026","20:30","-1.700M","1.400M","5.600M"
"03-03-2026","21:30","5.600M","2.200M","11.400M"
"24-02-2026","21:30","11.400M","1.850M","-0.609M"
"18-02-2026","21:30","-0.609M","","13.400M"
"10-02-2026","21:30","13.400M","","-11.100M"
"03-02-2026","21:30","-11.100M","0.700M","-0.247M"
"27-01-2026","21:30","-0.247M","1.450M","3.040M"
"21-01-2026","21:30","3.040M","","5.270M"
"13-01-2026","21:30","5.270M","-2.000M","-2.800M"
"06-01-2026","21:30","-2.800M","1.200M","1.700M"
"30-12-2025","21:30","1.700M","","2.400M"
"23-12-2025","21:30","2.400M","","-9.300M"
"16-12-2025","21:30","-9.300M","-2.200M","-4.800M"
"09-12-2025","21:30","-4.800M","-1.700M","-2.480M"
"02-12-2025","21:30","-2.480M","","-1.900M"
"25-11-2025","22:30","-1.900M","","4.400M"
"18-11-2025","21:30","4.400M","","1.300M"
"12-11-2025","21:30","1.300M","1.700M","6.500M"
"04-11-2025","21:30","6.500M","-2.400M","-4.000M"
"28-10-2025","20:30","-4.000M","-2.900M","-2.980M"
"21-10-2025","21:30","-2.980M","","3.524M"
"16-10-2025","18:00","3.524M","0.120M","2.780M"
"07-10-2025","21:30","2.780M","2.250M","-3.674M"
"30-09-2025","21:30","-3.674M","","-3.821M"
"23-09-2025","21:30","-3.821M","","-3.420M"
"16-09-2025","21:30","-3.420M","-1.600M","1.250M"
"09-09-2025","21:30","1.250M","","0.622M"
"03-09-2025","21:30","0.622M","-3.400M","-0.974M"
"26-08-2025","21:30","-0.974M","-1.700M","-2.400M"
"19-08-2025","21:30","-2.400M","-1.200M","1.500M"
"12-08-2025","21:30","1.500M","-0.800M","-4.200M"
"05-08-2025","21:30","-4.200M","-1.800M","1.539M"
"29-07-2025","21:30","1.539M","-2.500M","-0.577M"
"22-07-2025","21:30","-0.577M","","19.100M"
