date,Iran,Iraq,Nigeria,Libya,Yemen,Saudi Arabia,Venezuela,Russia,TOTAL
2021-01-01,1.0,9.0,9,,13,,4.0,,36.0
2021-01-02,,6.0,15,,31,,3.0,,55.0
2021-01-03,1.0,10.0,13,,22,,2.0,,48.0
2021-01-04,,7.0,12,1.0,20,,2.0,,42.0
2021-01-05,1.0,10.0,9,,17,,8.0,,45.0
2021-01-06,,8.0,13,,22,,6.0,,49.0
2021-01-07,,7.0,4,,13,,8.0,,32.0
2021-01-08,1.0,9.0,8,,17,,9.0,,44.0
2021-01-09,,5.0,13,,18,,10.0,1.0,47.0
2021-01-10,,9.0,12,,18,,2.0,,41.0
2021-01-11,,11.0,5,,17,,3.0,,36.0
2021-01-12,,10.0,10,,16,,7.0,1.0,44.0
2021-01-13,,2.0,13,,12,,3.0,,30.0
2021-01-14,,3.0,13,,23,,9.0,,48.0
2021-01-15,,13.0,16,,18,,6.0,,53.0
2021-01-16,,6.0,11,,20,,5.0,,42.0
2021-01-17,1.0,6.0,15,,21,1.0,5.0,,49.0
2021-01-18,1.0,11.0,12,,16,,12.0,,52.0
2021-01-19,,9.0,4,1.0,19,,7.0,,40.0
2021-01-20,1.0,2.0,8,,20,,14.0,2.0,47.0
2021-01-21,,6.0,13,,18,,5.0,1.0,43.0
2021-01-22,,11.0,17,,25,,6.0,,59.0
2021-01-23,,12.0,10,,11,,7.0,,40.0
2021-01-24,1.0,12.0,16,,16,,11.0,,56.0
2021-01-25,,6.0,11,,15,,12.0,,44.0
2021-01-26,,7.0,8,,20,,3.0,,38.0
2021-01-27,,8.0,8,,14,,1.0,,31.0
2021-01-28,,3.0,14,1.0,22,,12.0,2.0,54.0
2021-01-29,,8.0,8,,16,,6.0,,38.0
2021-01-30,,10.0,10,,17,1.0,5.0,,43.0
2021-01-31,,7.0,3,,26,,4.0,1.0,41.0
2021-02-01,1.0,6.0,12,,12,,6.0,,37.0
2021-02-02,1.0,18.0,11,,16,,2.0,,48.0
2021-02-03,2.0,4.0,15,,17,,5.0,,43.0
2021-02-04,,10.0,12,,14,,5.0,3.0,44.0
2021-02-05,,3.0,10,,15,,5.0,,33.0
2021-02-06,,5.0,14,,16,,1.0,,36.0
2021-02-07,,4.0,10,,27,,8.0,,49.0
2021-02-08,1.0,10.0,12,,14,,5.0,1.0,43.0
2021-02-09,,5.0,13,,29,,4.0,,51.0
2021-02-10,1.0,18.0,16,,23,1.0,3.0,,62.0
2021-02-11,,12.0,11,,27,,4.0,,54.0
2021-02-12,,13.0,9,,32,2.0,4.0,,60.0
2021-02-13,,10.0,7,,30,,3.0,,50.0
2021-02-14,,4.0,10,,21,1.0,3.0,,39.0
2021-02-15,,18.0,9,,22,2.0,7.0,1.0,59.0
2021-02-16,1.0,7.0,15,,25,,10.0,,58.0
2021-02-17,,8.0,14,1.0,25,,,,48.0
2021-02-18,,11.0,9,,27,,2.0,,49.0
2021-02-19,,3.0,10,,31,,1.0,1.0,46.0
2021-02-20,,11.0,6,,26,,1.0,1.0,45.0
2021-02-21,,1.0,9,1.0,28,,2.0,,41.0
2021-02-22,2.0,9.0,7,,24,,2.0,,44.0
2021-02-23,,9.0,11,,17,,3.0,,40.0
2021-02-24,1.0,20.0,13,,32,,3.0,1.0,70.0
2021-02-25,,6.0,13,,26,,3.0,1.0,49.0
2021-02-26,,14.0,10,,26,,5.0,,55.0
2021-02-27,,3.0,11,,26,,3.0,1.0,44.0
2021-02-28,,13.0,8,,23,,6.0,,50.0
2021-03-01,,4.0,17,,23,1.0,1.0,,46.0
2021-03-02,1.0,6.0,20,,34,,1.0,,62.0
2021-03-03,,15.0,7,,33,1.0,5.0,,61.0
2021-03-04,,6.0,11,,25,,1.0,1.0,44.0
2021-03-05,,3.0,7,,34,,5.0,,49.0
2021-03-06,,9.0,10,,29,,4.0,1.0,53.0
2021-03-07,2.0,2.0,8,,36,7.0,1.0,1.0,57.0
2021-03-08,,9.0,11,,34,1.0,3.0,,58.0
2021-03-09,,9.0,12,,22,,5.0,,48.0
2021-03-10,,5.0,7,,35,,1.0,1.0,49.0
2021-03-11,,14.0,11,,41,,5.0,1.0,72.0
2021-03-12,,6.0,7,,22,,5.0,,40.0
2021-03-13,1.0,6.0,8,,31,,3.0,,49.0
2021-03-14,,13.0,14,1.0,34,,,,62.0
2021-03-15,,9.0,10,,26,2.0,3.0,2.0,52.0
2021-03-16,,11.0,11,,33,,5.0,,60.0
2021-03-17,1.0,7.0,12,,24,,3.0,,47.0
2021-03-18,,13.0,8,1.0,32,1.0,1.0,,56.0
2021-03-19,,11.0,11,,33,2.0,5.0,,62.0
2021-03-20,,14.0,11,,23,1.0,5.0,,54.0
2021-03-21,1.0,5.0,7,,39,,4.0,,56.0
2021-03-22,,12.0,5,,15,,8.0,,40.0
2021-03-23,,5.0,9,,26,1.0,6.0,,47.0
2021-03-24,1.0,5.0,10,,29,,3.0,,48.0
2021-03-25,,13.0,5,2.0,21,1.0,6.0,1.0,49.0
2021-03-26,1.0,7.0,9,1.0,19,5.0,4.0,,46.0
2021-03-27,,11.0,6,,19,,7.0,,43.0
2021-03-28,1.0,2.0,13,1.0,25,,7.0,,49.0
2021-03-29,,14.0,15,1.0,22,,4.0,1.0,57.0
2021-03-30,,6.0,7,,23,,2.0,1.0,39.0
2021-03-31,,,17,,27,,7.0,,51.0
2021-04-01,2.0,14.0,10,,28,1.0,5.0,,60.0
2021-04-02,,5.0,9,,42,,3.0,,59.0
2021-04-03,,7.0,8,1.0,19,,3.0,,38.0
2021-04-04,,10.0,6,,24,,4.0,2.0,46.0
2021-04-05,1.0,13.0,11,,21,,2.0,,48.0
2021-04-06,,4.0,11,1.0,29,,4.0,,49.0
2021-04-07,,6.0,16,,20,,5.0,,47.0
2021-04-08,,10.0,13,1.0,18,,2.0,1.0,45.0
2021-04-09,,8.0,8,,23,1.0,2.0,,42.0
2021-04-10,1.0,11.0,13,,33,,2.0,,60.0
2021-04-11,1.0,9.0,9,,21,2.0,2.0,,44.0
2021-04-12,,9.0,14,,22,4.0,7.0,1.0,57.0
2021-04-13,,9.0,11,,15,,2.0,,37.0
2021-04-14,1.0,11.0,12,,27,,4.0,,55.0
2021-04-15,1.0,14.0,10,1.0,35,1.0,3.0,,65.0
2021-04-16,1.0,10.0,20,1.0,29,,5.0,,66.0
2021-04-17,,16.0,12,1.0,14,1.0,,,44.0
2021-04-18,,15.0,5,,17,,4.0,1.0,42.0
2021-04-19,,18.0,8,,15,,4.0,1.0,46.0
2021-04-20,,11.0,6,,22,,5.0,1.0,45.0
2021-04-21,,9.0,16,,19,,5.0,1.0,50.0
2021-04-22,1.0,9.0,8,,22,,8.0,,48.0
2021-04-23,,18.0,6,,11,,4.0,2.0,41.0
2021-04-24,2.0,28.0,11,,14,,4.0,,59.0
2021-04-25,,14.0,17,,23,,3.0,,57.0
2021-04-26,2.0,21.0,19,,23,1.0,5.0,1.0,72.0
2021-04-27,,30.0,10,,19,,1.0,,60.0
2021-04-28,,23.0,5,,22,1.0,9.0,,60.0
2021-04-29,,30.0,7,,23,,4.0,,64.0
2021-04-30,,19.0,13,,19,,1.0,1.0,53.0
2021-05-01,1.0,25.0,9,,14,,4.0,,53.0
2021-05-02,1.0,26.0,6,,14,,5.0,,52.0
2021-05-03,1.0,19.0,10,,21,1.0,9.0,,61.0
2021-05-04,2.0,23.0,8,,18,,7.0,,58.0
2021-05-05,2.0,19.0,12,,14,,5.0,,52.0
2021-05-06,,17.0,7,,15,,6.0,,45.0
2021-05-07,2.0,18.0,14,,13,,4.0,,51.0
2021-05-08,,27.0,9,,20,,3.0,,59.0
2021-05-09,,13.0,8,,23,,2.0,,46.0
2021-05-10,1.0,20.0,10,2.0,16,,2.0,,51.0
2021-05-11,2.0,22.0,10,,12,,5.0,,51.0
2021-05-12,,23.0,5,,14,,4.0,,46.0
2021-05-13,,14.0,10,,29,,2.0,,55.0
2021-05-14,3.0,9.0,12,,11,,6.0,,41.0
2021-05-15,,7.0,10,,8,,4.0,4.0,33.0
2021-05-16,1.0,16.0,7,,12,,4.0,,40.0
2021-05-17,2.0,10.0,11,,12,,2.0,,37.0
2021-05-18,,16.0,10,,18,,6.0,,50.0
2021-05-19,2.0,15.0,10,,16,,7.0,,50.0
2021-05-20,,22.0,11,,16,,5.0,1.0,55.0
2021-05-21,,17.0,9,1.0,7,,4.0,2.0,40.0
2021-05-22,1.0,25.0,10,,25,,5.0,1.0,67.0
2021-05-23,1.0,20.0,14,,13,,3.0,,51.0
2021-05-24,1.0,12.0,10,,18,,7.0,,48.0
2021-05-25,,25.0,12,,19,,5.0,,61.0
2021-05-26,,14.0,14,,15,,5.0,,48.0
2021-05-27,1.0,18.0,6,,7,,4.0,,36.0
2021-05-28,,23.0,21,,6,,5.0,1.0,56.0
2021-05-29,2.0,17.0,10,,16,,2.0,,47.0
2021-05-30,,17.0,9,,24,,6.0,,56.0
2021-05-31,,15.0,17,,17,1.0,2.0,,52.0
2021-06-01,1.0,8.0,3,,22,,7.0,1.0,42.0
2021-06-02,4.0,19.0,10,,14,,5.0,,52.0
2021-06-03,,17.0,11,1.0,12,,7.0,,48.0
2021-06-04,,11.0,3,,16,,9.0,,39.0
2021-06-05,1.0,23.0,10,,21,,3.0,,58.0
2021-06-06,,15.0,15,1.0,18,,1.0,1.0,51.0
2021-06-07,1.0,20.0,14,1.0,15,,4.0,,55.0
2021-06-08,,21.0,17,,9,,7.0,,54.0
2021-06-09,2.0,20.0,9,,13,,6.0,1.0,51.0
2021-06-10,,15.0,14,1.0,22,,5.0,,57.0
2021-06-11,,14.0,5,1.0,17,,2.0,1.0,40.0
2021-06-12,1.0,19.0,7,1.0,10,,4.0,1.0,43.0
2021-06-13,,19.0,11,,22,2.0,5.0,1.0,60.0
2021-06-14,,19.0,14,1.0,21,1.0,5.0,,61.0
2021-06-15,2.0,25.0,14,1.0,8,,5.0,,55.0
2021-06-16,2.0,18.0,3,1.0,14,,8.0,,46.0
2021-06-17,,15.0,11,,8,1.0,3.0,,38.0
2021-06-18,,13.0,7,,14,,1.0,,35.0
2021-06-19,1.0,19.0,9,1.0,29,,2.0,,61.0
2021-06-20,,10.0,10,,19,1.0,3.0,,43.0
2021-06-21,,17.0,6,,18,,6.0,,47.0
2021-06-22,,21.0,4,1.0,21,,2.0,,49.0
2021-06-23,3.0,10.0,8,,17,,4.0,3.0,45.0
2021-06-24,2.0,16.0,8,,13,,3.0,,42.0
2021-06-25,1.0,17.0,11,,12,,5.0,,46.0
2021-06-26,,15.0,7,3.0,20,,1.0,,46.0
2021-06-27,1.0,23.0,18,,29,1.0,5.0,,77.0
2021-06-28,,12.0,4,,15,,4.0,,35.0
2021-06-29,1.0,4.0,15,,9,,4.0,,33.0
2021-06-30,,20.0,8,,16,,7.0,1.0,52.0
2021-07-01,,13.0,8,2.0,13,,5.0,3.0,44.0
2021-07-02,2.0,18.0,10,,21,,1.0,,52.0
2021-07-03,,10.0,12,1.0,19,,3.0,,45.0
2021-07-04,1.0,23.0,11,,26,,3.0,1.0,65.0
2021-07-05,,25.0,14,,16,,5.0,,60.0
2021-07-06,1.0,26.0,8,,23,,2.0,,60.0
2021-07-07,1.0,18.0,18,,28,,3.0,,68.0
2021-07-08,1.0,15.0,13,1.0,23,,5.0,1.0,59.0
2021-07-09,,11.0,7,1.0,28,,4.0,,51.0
2021-07-10,,14.0,11,1.0,21,,5.0,,52.0
2021-07-11,,22.0,11,1.0,30,,4.0,1.0,69.0
2021-07-12,2.0,15.0,11,1.0,17,,9.0,2.0,57.0
2021-07-13,1.0,18.0,9,,20,,7.0,,55.0
2021-07-14,2.0,6.0,13,1.0,18,,6.0,,46.0
2021-07-15,,21.0,5,,11,,3.0,2.0,42.0
2021-07-16,1.0,14.0,12,1.0,14,,6.0,,48.0
